keyword,topic,category
CD(certificates of deposit),<<KEYWORD>>,Stock
DR(Depository Receipts),<<KEYWORD>>,Stock
IMC (IMC (Integrated Marketing Communications )),<<KEYWORD>>,Stock
M 0 (Merger 0),<<KEYWORD>>,Stock
MMF(Money Market Fund) (Money Market Fund ),<<KEYWORD>>,Stock
NYSE (New York Stick Exchange),<<KEYWORD>>,Stock
OBV지표(On Balance Volume),<<KEYWORD>>,Stock
PSR(price selling ratio) (price selling ratio),<<KEYWORD>>,Stock
SEC,<<KEYWORD>>,Stock
가격변동준비금 (reserve for fluctuation) (reserve for fluctuation),<<KEYWORD>>,Stock
가격산정 (pricing),<<KEYWORD>>,Stock
가격신축성  (price flexibility) (price flexibility),<<KEYWORD>>,Stock
가격제한폭(restriction of price range) (restriction of price range ),<<KEYWORD>>,Stock
가격지지  (peg) (peg),<<KEYWORD>>,Stock
가격파급효과분석,<<KEYWORD>>,Stock
가격할증  (markup) (markup),<<KEYWORD>>,Stock
가장매매,<<KEYWORD>>,Stock
가중산술평균,<<KEYWORD>>,Stock
가중주가평균 (weighted stock price average) (weighted stock price average),<<KEYWORD>>,Stock
가중평균 수익률,<<KEYWORD>>,Stock
가중평균금리 (weighted average rate) (weighted average rate),<<KEYWORD>>,Stock
가중평균배당수익률,<<KEYWORD>>,Stock
가중평균상환기간  (weighted average term to maturity) (weighted average term to maturity),<<KEYWORD>>,Stock
가중평균자본비용 (weighted average cost of capital) (weighted average cost of capital),<<KEYWORD>>,Stock
가중평균주가 (weighted stock price average) (weighted stock price average),<<KEYWORD>>,Stock
간사회사(management cooperation) (management cooperation),<<KEYWORD>>,Stock
간접공시,<<KEYWORD>>,Stock
간접금융(indirect financing) (indirect financing),<<KEYWORD>>,Stock
간접모집(indirect offering) (indirect offering),<<KEYWORD>>,Stock
간접발행(indirect issuing) (indirect issuing),<<KEYWORD>>,Stock
간접투자,<<KEYWORD>>,Stock
감리종목,<<KEYWORD>>,Stock
감자  (reduction of capital) (reduction of capital),<<KEYWORD>>,Stock
감자차익,<<KEYWORD>>,Stock
강세스프레드,<<KEYWORD>>,Stock
강형가설(strong form) (strong form),<<KEYWORD>>,Stock
개방형뮤추얼펀드,<<KEYWORD>>,Stock
개별경쟁매매,<<KEYWORD>>,Stock
개시증거금 (Initial Margin) (Initial Margin),<<KEYWORD>>,Stock
갭 (gap) (gap),<<KEYWORD>>,Stock
갱신차금,<<KEYWORD>>,Stock
